client_id,active_rounds,active_rate,mean_probability_alignment_to_cloud,median_probability_alignment_to_cloud,cloud_label_agreement_rate,mean_alignment_when_active,mean_alignment_when_inactive
0,145,0.9666666667,0.9889881879,0.9989334775,0.9400000000,0.9886266195,0.9994736704
1,145,0.9666666667,0.9919466970,0.9992905269,0.9400000000,0.9916831705,0.9995889647
2,145,0.9666666667,0.9606832713,0.9937530081,0.9000000000,0.9595853419,0.9925232223
3,145,0.9666666667,0.9384913225,0.9929466907,0.9066666667,0.9365282077,0.9954216513
4,145,0.9666666667,0.6003062855,0.6452701864,0.3866666667,0.5968907716,0.6993561889
5,144,0.9600000000,0.9771333858,0.9974822930,0.8933333333,0.9800006090,0.9083200290
6,144,0.9600000000,0.6639433274,0.6959043030,0.4533333333,0.6657286044,0.6210966784
7,143,0.9533333333,0.7105475818,0.7511195548,0.5400000000,0.7120127112,0.6806170826
8,142,0.9466666667,0.8458692185,0.9201341671,0.7533333333,0.8483108355,0.8025305163
9,141,0.9400000000,0.9114249794,0.9930813519,0.8466666667,0.9174371486,0.8172343293
10,138,0.9200000000,0.8759254204,0.9863499721,0.8000000000,0.8810234201,0.8172984243
11,134,0.8933333333,0.9251527939,0.9914058873,0.8600000000,0.9279842419,0.9014394170
12,134,0.8933333333,0.9277084975,0.9820825150,0.8333333333,0.9318841719,0.8927372243
13,127,0.8466666667,0.9609405659,0.9952206284,0.8866666667,0.9656488235,0.9349427956
14,126,0.8400000000,0.9439470378,0.9924213096,0.8866666667,0.9433324638,0.9471735513
15,124,0.8266666667,0.9832764813,0.9972705963,0.9466666667,0.9860870555,0.9698722042
16,118,0.7866666667,0.7604169712,0.8105088765,0.6866666667,0.7667815936,0.7369474263
17,113,0.7533333333,0.7364351640,0.7771144364,0.5733333333,0.7428880325,0.7167277547
18,110,0.7333333333,0.9482037773,0.9938999876,0.8800000000,0.9444853760,0.9584293808
19,104,0.6933333333,0.9118261588,0.9757242705,0.7800000000,0.9052001706,0.9268066540
20,98,0.6533333333,0.9187701352,0.9677136616,0.8933333333,0.9166672234,0.9227333151
21,94,0.6266666667,0.9652836664,0.9960815918,0.9133333333,0.9593891911,0.9751779642
22,89,0.5933333333,0.8735028655,0.9574564125,0.7600000000,0.8681522758,0.8813094634
23,83,0.5533333333,0.5860361886,0.6075417155,0.3666666667,0.5968938216,0.5725856879
24,80,0.5333333333,0.8139354744,0.8735590498,0.7133333333,0.8206961653,0.8062089704
25,75,0.5000000000,0.6269317087,0.6392338826,0.4066666667,0.6423634814,0.6114999360
26,71,0.4733333333,0.8730633152,0.9851909146,0.8000000000,0.8861630216,0.8612901613
27,66,0.4400000000,0.8560642623,0.9252926092,0.7666666667,0.8698582443,0.8452261335
28,66,0.4400000000,0.8509928918,0.9305082543,0.7666666667,0.8585320700,0.8450692518
29,63,0.4200000000,0.9588748203,0.9926249411,0.8866666667,0.9671880537,0.9528548927
30,58,0.3866666667,0.9191113440,0.9927164982,0.8533333333,0.9126715992,0.9231711831
31,56,0.3733333333,0.9035686872,0.9695138794,0.8000000000,0.9084060468,0.9006868560
32,48,0.3200000000,0.6455120401,0.6705210246,0.4800000000,0.6379181353,0.6490856423
33,40,0.2666666667,0.6931528032,0.7497001413,0.5266666667,0.6858329483,0.6958145687
34,33,0.2200000000,0.9352115900,0.9909811493,0.8666666667,0.9294933736,0.9368244202
35,27,0.1800000000,0.9849971026,0.9988234264,0.9266666667,0.9874577818,0.9844569535
36,20,0.1333333333,0.8624424439,0.9367009462,0.7200000000,0.8903634447,0.8581469054
