epoch,client_count,active_client_count,active_edge_count,client_vote_consensus_ratio,active_client_vote_consensus_ratio,within_edge_vote_consensus_ratio,edge_vote_consensus_ratio,client_vote_entropy_norm,client_label_consensus_score,active_client_vote_entropy_norm,active_client_label_consensus_score,edge_vote_entropy_norm,edge_label_consensus_score,client_probability_divergence_gjs,client_probability_consensus_score,active_client_probability_divergence_gjs,active_client_probability_consensus_score,within_edge_probability_divergence_gjs,within_edge_probability_consensus_score,edge_probability_divergence_gjs,edge_probability_consensus_score,client_cloud_js_divergence,client_cloud_alignment_score,edge_cloud_js_divergence,edge_cloud_alignment_score,client_cloud_label_agreement,edge_cloud_label_agreement,majority_cloud_label_match,client_mean_confidence,cloud_confidence,cloud_entropy_norm,cloud_margin,majority_label,cloud_predicted_label,true_label,soft_consensus,strong_consensus,cloud_correct,correct_soft_consensus,wrong_soft_consensus,correct_strong_consensus,wrong_strong_consensus,train_acc,train_loss,test_acc,test_loss
1,37,32,4,0.2162162162,0.2187500000,0.3125000000,0.2500000000,0.9556934493,0.0443065507,0.9380783747,0.0619216253,0.6020599913,0.3979400087,0.0886174020,0.9113825980,0.0939082736,0.9060917264,0.0812014251,0.9187985749,0.0257186621,0.9742813379,0.0651542955,0.9348457045,0.0238636142,0.9761363858,0.2162162162,0.0000000000,1,0.2504747251,0.1146088672,0.9975914672,0.0001249239,6,6,,0,0,,,,,,0.1565166667,2.2831637671,0.1532000000,2.2836797086
2,37,37,4,0.1621621622,0.1621621622,0.2162162162,0.2500000000,0.9772945647,0.0227054353,0.9772945647,0.0227054353,0.6020599913,0.3979400087,0.2773352891,0.7226647109,0.2773352891,0.7226647109,0.2466534951,0.7533465049,0.0549757561,0.9450242439,0.2061401057,0.7938598943,0.0463220505,0.9536779495,0.1081081081,0.2500000000,0,0.4421727976,0.1247295420,0.9934142764,0.0025083349,8,3,,0,0,,,,,,0.2547500000,2.2242510389,0.2549000000,2.2238831078
3,37,37,5,0.1351351351,0.1351351351,0.2702702703,0.2000000000,0.9796580086,0.0203419914,0.9796580086,0.0203419914,0.6989700043,0.3010299957,0.2989157658,0.7010842342,0.2989157658,0.7010842342,0.2524483977,0.7475516023,0.1019084601,0.8980915399,0.2238082408,0.7761917592,0.0847663134,0.9152336866,0.1351351351,0.2000000000,0,0.4607133644,0.1320322662,0.9928658135,0.0140692449,4,9,,0,0,,,,,,0.3797166667,2.1241131586,0.3804000000,2.1218461130
4,37,25,4,0.2162162162,0.2400000000,0.2800000000,0.5000000000,0.9540684492,0.0459315508,0.9280978099,0.0719021901,0.4515449935,0.5484550065,0.3514702330,0.6485297670,0.3446814218,0.6553185782,0.2945269916,0.7054730084,0.1455563669,0.8544436331,0.2696163464,0.7303836536,0.1249823018,0.8750176982,0.2162162162,0.5000000000,1,0.5125820944,0.2037771218,0.9722690813,0.0900239731,9,9,,0,0,,,,,,0.3900500000,1.9942542446,0.3931000000,1.9900656817
5,37,31,4,0.2162162162,0.2580645161,0.2903225806,0.5000000000,0.9517050053,0.0482949947,0.8905223016,0.1094776984,0.4515449935,0.5484550065,0.3579999309,0.6420000691,0.3516879079,0.6483120921,0.3079454036,0.6920545964,0.0712008152,0.9287991848,0.2784623805,0.7215376195,0.0585957283,0.9414042717,0.2162162162,0.5000000000,1,0.5139276014,0.1876006057,0.9666342087,0.0289497812,9,9,,0,0,,,,,,0.5681500000,1.8214426085,0.5662000000,1.8148349288
6,37,35,5,0.2162162162,0.2000000000,0.2857142857,0.4000000000,0.9386090576,0.0613909424,0.9438103631,0.0561896369,0.5785580061,0.4214419939,0.4088169647,0.5911830353,0.4236127934,0.5763872066,0.3455559164,0.6544440836,0.1003246949,0.8996753051,0.3168351892,0.6831648108,0.0910674976,0.9089325024,0.2162162162,0.4000000000,1,0.5726354507,0.2420320434,0.9264673764,0.0721591539,9,9,,0,0,,,,,,0.6970000000,1.6339734406,0.6986000000,1.6223849882
7,37,35,5,0.2162162162,0.2285714286,0.3142857143,0.4000000000,0.9455632815,0.0544367185,0.9374554043,0.0625445957,0.5785580061,0.4214419939,0.4553826979,0.5446173021,0.4702802374,0.5297197626,0.3861761630,0.6138238370,0.1256240432,0.8743759568,0.3519550556,0.6480449444,0.1066717802,0.8933282198,0.2162162162,0.2000000000,1,0.6133788586,0.2536638696,0.9227433516,0.0727888351,9,9,,0,0,,,,,,0.7194000000,1.4446402598,0.7210000000,1.4303445367
8,37,16,3,0.4594594595,0.5000000000,0.5000000000,1.0000000000,0.7240848898,0.2759151102,0.6773174902,0.3226825098,-0.0000000000,1.0000000000,0.2185752983,0.7814247017,0.2219390074,0.7780609926,0.1884783792,0.8115216208,0.0333929808,0.9666070192,0.2082098049,0.7917901951,0.0282011819,0.9717988181,0.4594594595,1.0000000000,1,0.4625911137,0.5667437974,0.6999059708,0.4907471294,1,1,,0,0,,,,,,0.6582000000,1.3444155727,0.6663000000,1.3227993198
9,37,23,3,0.1891891892,0.2608695652,0.3478260870,0.6666666667,0.9085603375,0.0914396625,0.7711931645,0.2288068355,0.2764345909,0.7235654091,0.3036571981,0.6963428019,0.2711152745,0.7288847255,0.2400113930,0.7599886070,0.0436065211,0.9563934789,0.2412672577,0.7587327423,0.0396155746,0.9603844254,0.1891891892,0.3333333333,1,0.4950978877,0.2196274612,0.9194468668,0.0111047770,4,4,,0,0,,,,,,0.6304666667,1.2208724203,0.6353000000,1.2044990446
10,37,37,4,0.5675675676,0.5675675676,0.5675675676,1.0000000000,0.5939348960,0.4060651040,0.5939348960,0.4060651040,-0.0000000000,1.0000000000,0.3181065864,0.6818934136,0.3181065864,0.6818934136,0.2706764526,0.7293235474,0.0580261805,0.9419738195,0.2563668908,0.7436331092,0.0539577004,0.9460422996,0.5675675676,1.0000000000,1,0.6432166406,0.6722905065,0.5658938304,0.6116519407,1,1,,0,0,,,,,,0.7601500000,1.0655407579,0.7653000000,1.0481917145
11,37,37,3,0.2432432432,0.2432432432,0.3243243243,0.6666666667,0.7966448611,0.2033551389,0.7966448611,0.2033551389,0.2764345909,0.7235654091,0.3064202158,0.6935797842,0.3064202158,0.6935797842,0.2855513935,0.7144486065,0.0180660128,0.9819339872,0.2401219516,0.7598780484,0.0169084409,0.9830915591,0.2432432432,0.3333333333,0,0.5772733183,0.2895096147,0.8159636424,0.0181607021,3,5,,0,0,,,,,,0.7794166667,0.9573641488,0.7835000000,0.9394702567
12,37,9,2,0.1891891892,0.3333333333,0.4444444444,0.5000000000,0.8748636138,0.1251363862,0.6614109820,0.3385890180,0.3010299957,0.6989700043,0.4556679994,0.5443320006,0.3681131884,0.6318868116,0.2857376016,0.7142623984,0.1722717212,0.8277282788,0.4269055263,0.5730944737,0.1838990228,0.8161009772,0.0540540541,0.5000000000,0,0.6076430034,0.3803039853,0.8164940205,0.2214900888,3,2,,0,0,,,,,,0.7265500000,1.0364282832,0.7286000000,1.0135384272
13,37,22,4,0.3243243243,0.2272727273,0.3181818182,0.7500000000,0.7790660849,0.2209339151,0.8278031395,0.1721968605,0.2442190503,0.7557809497,0.3874100590,0.6125899410,0.3633198379,0.6366801621,0.2898156189,0.7101843811,0.1490079223,0.8509920777,0.3383142609,0.6616857391,0.1349781412,0.8650218588,0.3243243243,0.7500000000,1,0.6323380294,0.6306618064,0.5679041539,0.4899644402,3,3,,0,0,,,,,,0.7341166667,0.8749134575,0.7379000000,0.8583417602
14,37,5,2,0.2162162162,0.6000000000,0.6000000000,0.5000000000,0.8328705433,0.1671294567,0.4126972515,0.5873027485,0.3010299957,0.6989700043,0.4370122769,0.5629877231,0.2074439747,0.7925560253,0.1184467507,0.8815532493,0.2019535777,0.7980464223,0.5073825362,0.4926174638,0.2332204029,0.7667795971,0.1081081081,0.5000000000,0,0.6585866538,0.6498876098,0.5241393239,0.4887619529,5,2,,0,0,,,,,,0.5472500000,1.2025815220,0.5466000000,1.1819468625
15,37,36,6,0.4864864865,0.5000000000,0.5277777778,0.8333333333,0.6819291194,0.3180708806,0.6780239205,0.3219760795,0.1956762468,0.8043237532,0.2733588622,0.7266411378,0.2754091355,0.7245908645,0.2084465823,0.7915534177,0.0973473638,0.9026526362,0.2158435126,0.7841564874,0.0824907804,0.9175092196,0.4864864865,0.8333333333,1,0.5772298019,0.5386139009,0.7040425451,0.4339115204,1,1,,0,0,,,,,,0.8054000000,0.7462941508,0.8114000000,0.7288492640
16,37,21,4,0.7567567568,0.7619047619,0.7619047619,1.0000000000,0.3460559164,0.6539440836,0.3366343668,0.6633656332,-0.0000000000,1.0000000000,0.1713775406,0.8286224594,0.1732100675,0.8267899325,0.1327884401,0.8672115599,0.0171345029,0.9828654971,0.1418996151,0.8581003849,0.0148210078,0.9851789922,0.7567567568,1.0000000000,1,0.6843264805,0.8716580025,0.2806527142,0.8477459424,1,1,,1,0,,,,,,0.7675666667,0.7495848837,0.7724000000,0.7329373051
17,37,21,4,0.6216216216,0.7619047619,0.7619047619,1.0000000000,0.5405781704,0.4594218296,0.3366343668,0.6633656332,-0.0000000000,1.0000000000,0.2115909447,0.7884090553,0.1761225653,0.8238774347,0.1411987098,0.8588012902,0.0302961405,0.9697038595,0.1772379927,0.8227620073,0.0258419273,0.9741580727,0.6216216216,1.0000000000,1,0.6626310534,0.8260036978,0.3513709873,0.7901229659,1,1,,0,0,,,,,,0.7636500000,0.7278036710,0.7687000000,0.7117076859
