metric,name_zh,valid_rounds,mean,median,min,max,first_third_mean,middle_third_mean,last_third_mean
client_vote_consensus_ratio,全客户端标签共识比例,150,0.7641441441,0.8648648649,0.1351351351,1.0000000000,0.5848648649,0.8362162162,0.8713513514
client_label_consensus_score,全客户端标签熵共识得分,150,0.6923327182,0.7623909695,0.0203419914,1.0000000000,0.4853054830,0.7707589769,0.8209336948
client_probability_consensus_score,全客户端概率共识得分,150,0.8189530246,0.8450022056,0.5443320006,0.9797622596,0.7523437737,0.8438634615,0.8606518386
within_edge_probability_consensus_score,域内概率共识得分,145,0.8676184939,0.8887974824,0.6138238370,0.9874121914,0.8097537709,0.8878701826,0.9012754904
edge_probability_consensus_score,边缘模型间概率共识得分,143,0.9617681933,0.9868931970,0.7369830736,0.9998959707,0.9349477300,0.9664215321,0.9827208541
client_cloud_alignment_score,客户端到云概率对齐得分,150,0.8602869855,0.8878867536,0.4926174638,0.9878486259,0.7985148192,0.8838159229,0.8985302145
edge_cloud_alignment_score,边缘到云概率对齐得分,145,0.9641080970,0.9885878498,0.7062621268,1.0000000000,0.9395003047,0.9668721286,0.9843888492
client_cloud_label_agreement,客户端与云标签一致比例,150,0.7605405405,0.8648648649,0.0540540541,1.0000000000,0.5789189189,0.8313513514,0.8713513514
cloud_confidence,云模型置信度,150,0.8623360794,0.9781421802,0.1146088672,0.9997985572,0.6916887097,0.9308310597,0.9644884687
cloud_margin,云模型概率间隔,150,0.8161332674,0.9695074924,0.0001249239,0.9996841243,0.6065459745,0.8947912832,0.9470625444
active_client_vote_consensus_ratio,active_client_vote_consensus_ratio,145,0.7761948346,0.8500000000,0.1351351351,1.0000000000,0.5906994836,0.8534908862,0.8714598054
within_edge_vote_consensus_ratio,within_edge_vote_consensus_ratio,145,0.7889717801,0.8620689655,0.2162162162,1.0000000000,0.6241758879,0.8577928744,0.8734525217
edge_vote_consensus_ratio,edge_vote_consensus_ratio,143,0.9094405594,1.0000000000,0.2000000000,1.0000000000,0.7894927536,0.9493197279,0.9836805556
active_client_probability_consensus_score,active_client_probability_consensus_score,145,0.8296024532,0.8557247104,0.5297197626,0.9798595214,0.7611768340,0.8530800671,0.8698819999
test_acc,test_acc,150,0.8659233333,0.8999000000,0.1532000000,0.9311000000,0.7764260000,0.9012200000,0.9201240000
test_loss,test_loss,150,0.4463059744,0.3192405173,0.2219374595,2.2836797086,0.7688101327,0.3178344518,0.2522733386
