"[0.08271068334579468,0.10098394751548767,0.13105309009552002,0.0904831811785698,0.0732102319598198,0.11098092049360275,0.08395325392484665,0.08483968675136566,0.14331550896167755,0.09846943616867065]","[0.06462394446134567,0.3501279950141907,0.04712862893939018,0.13681039214134216,0.05685153976082802,0.08188432455062866,0.07482241094112396,0.06062459573149681,0.06515844166278839,0.061967719346284866]","[0.09906933456659317,0.1071881651878357,0.07329737395048141,0.14758862555027008,0.06961896270513535,0.11529708653688431,0.13410411775112152,0.06841842085123062,0.08943840861320496,0.09597953408956528]","[0.09388861060142517,0.0719265565276146,0.08496890217065811,0.08313124626874924,0.10402563214302063,0.11363594233989716,0.12845581769943237,0.10043272376060486,0.08663244545459747,0.1329021006822586]",,
"[0.07763446867465973,0.08470641076564789,0.13066944479942322,0.07173214107751846,0.05964195728302002,0.11871364712715149,0.07278821617364883,0.10986930876970291,0.1590491235256195,0.11519525945186615]","[0.06568876653909683,0.2849048972129822,0.03052537515759468,0.26373711228370667,0.031925078481435776,0.08456628024578094,0.1072341799736023,0.02909354493021965,0.033951640129089355,0.06837309151887894]","[0.08054467290639877,0.044977687299251556,0.036448247730731964,0.051098186522722244,0.14564993977546692,0.1849762201309204,0.08852441608905792,0.0725376233458519,0.11095548421144485,0.1842874437570572]","[0.07894288003444672,0.061676815152168274,0.13261744379997253,0.15148457884788513,0.05707575008273125,0.07537255436182022,0.12898002564907074,0.14077778160572052,0.07703839242458344,0.09603379666805267]",,
"[0.06891999393701553,0.13805532455444336,0.11115356534719467,0.12802474200725555,0.07187389582395554,0.1022489070892334,0.0686725303530693,0.09939723461866379,0.10914044827222824,0.10251336544752121]","[0.04968744143843651,0.04368962347507477,0.04105949029326439,0.06707968562841415,0.16641080379486084,0.15153628587722778,0.16168572008609772,0.040700383484363556,0.048757705837488174,0.22939281165599823]","[0.15964041650295258,0.020618710666894913,0.029010437428951263,0.05060479789972305,0.027299020439386368,0.03904445469379425,0.04252754896879196,0.4326794743537903,0.1038782075047493,0.09469681233167648]","[0.08492490649223328,0.05218840762972832,0.16731257736682892,0.054803766310214996,0.039410658180713654,0.05742037668824196,0.3304673433303833,0.1112116277217865,0.03555963188409805,0.06670068949460983]","[0.03582887351512909,0.04061262682080269,0.21602988243103027,0.3272574245929718,0.10658836364746094,0.07514335215091705,0.03501463308930397,0.04211631044745445,0.0755510926246643,0.04585739225149155]",
"[0.06450586766004562,0.06073002144694328,0.1471647471189499,0.05242922529578209,0.06894516944885254,0.1146654561161995,0.0646221861243248,0.13286539912223816,0.1461726427078247,0.1478992998600006]","[0.06417244672775269,0.416652649641037,0.02426759898662567,0.17507998645305634,0.07216322422027588,0.10280542820692062,0.05562642961740494,0.025868268683552742,0.028223536908626556,0.03514040261507034]","[0.021109366789460182,0.024215953424572945,0.026160642504692078,0.051695674657821655,0.16963958740234375,0.0866457149386406,0.13541293144226074,0.03434565290808678,0.03995988890528679,0.4108145534992218]","[0.14016512036323547,0.014821931719779968,0.017773550003767014,0.042465467005968094,0.019325016066432,0.029023917391896248,0.039001479744911194,0.4797678291797638,0.08274266868829727,0.13491298258304596]",,
"[0.04710659757256508,0.06016544997692108,0.1842537224292755,0.04556466266512871,0.0504387728869915,0.11509490758180618,0.061077430844306946,0.09299726784229279,0.1434355527162552,0.1998656541109085]","[0.040429387241601944,0.13507702946662903,0.041831307113170624,0.20689544081687927,0.10739536583423615,0.11618651449680328,0.12689438462257385,0.06274060159921646,0.04869360104203224,0.11385631561279297]","[0.04016205295920372,0.024290284141898155,0.02340179868042469,0.03691955655813217,0.1788906455039978,0.1896764189004898,0.09533248841762543,0.050013381987810135,0.07149450480937958,0.2898188531398773]","[0.05029875412583351,0.04455922544002533,0.09973961859941483,0.044399507343769073,0.029074009507894516,0.04521418735384941,0.3666636645793915,0.16322200000286102,0.03566233813762665,0.12116671353578568]",,
"[0.05321963131427765,0.02475345879793167,0.13740882277488708,0.02648822031915188,0.06308718025684357,0.0691661387681961,0.05097226798534393,0.21171016991138458,0.10297742486000061,0.26021671295166016]","[0.05237877741456032,0.05910724028944969,0.03250139206647873,0.17056196928024292,0.24318556487560272,0.04682587832212448,0.10686282068490982,0.07959303259849548,0.03599114716053009,0.17299219965934753]","[0.043301887810230255,0.01288197748363018,0.03363827243447304,0.02324843406677246,0.1392960101366043,0.039093758910894394,0.1466556042432785,0.1306215226650238,0.040994882583618164,0.39026764035224915]","[0.12772014737129211,0.015451336279511452,0.034711647778749466,0.04348408058285713,0.1161218136548996,0.034007247537374496,0.09652014076709747,0.3454835116863251,0.02344689704477787,0.16305308043956757]","[0.02360287867486477,0.020987145602703094,0.28891515731811523,0.3224645256996155,0.14532968401908875,0.07637753337621689,0.01597907580435276,0.018783779814839363,0.06271608173847198,0.024844177067279816]",
"[0.04165850579738617,0.03452654927968979,0.10597307235002518,0.022114256396889687,0.07563236355781555,0.0673542395234108,0.038453225046396255,0.26176390051841736,0.12555161118507385,0.22697226703166962]","[0.04903288558125496,0.3855571150779724,0.013897831551730633,0.1508713662624359,0.18769676983356476,0.07146455347537994,0.0472969189286232,0.03200661763548851,0.01684250496327877,0.045333415269851685]","[0.02745480090379715,0.015518002212047577,0.013237492181360722,0.03273819759488106,0.14155621826648712,0.05000244826078415,0.07071814686059952,0.10072041302919388,0.06016550958156586,0.4878886938095093]","[0.023476678878068924,0.026593096554279327,0.057088568806648254,0.0232071690261364,0.026960022747516632,0.012526607140898705,0.33188727498054504,0.22603268921375275,0.02621208317577839,0.24601581692695618]","[0.07456297427415848,0.04155179485678673,0.1500883847475052,0.13834914565086365,0.12315844744443893,0.0729525238275528,0.04539279267191887,0.20411372184753418,0.07067205756902695,0.07915814220905304]",
"[0.02928926609456539,0.3596160411834717,0.14007921516895294,0.04611639678478241,0.02590843476355076,0.09124307334423065,0.05576460435986519,0.060040801763534546,0.10449735820293427,0.08744482696056366]","[0.020235644653439522,0.6949163675308228,0.022284505888819695,0.06347350776195526,0.022228512912988663,0.03696063905954361,0.03059285692870617,0.03830185532569885,0.0563342347741127,0.01467187236994505]","[0.02707589603960514,0.6106327772140503,0.029179859906435013,0.046858545392751694,0.035843443125486374,0.1311904639005661,0.05065690353512764,0.020916400477290154,0.029130637645721436,0.01851503737270832]",,,
"[0.025920335203409195,0.04788774624466896,0.18584029376506805,0.030747292563319206,0.09525488317012787,0.11253543198108673,0.0587567538022995,0.06532365828752518,0.08975338190793991,0.28798016905784607]","[0.04112759605050087,0.11430966854095459,0.0574188306927681,0.08637479692697525,0.2714122533798218,0.14267317950725555,0.07664098590612411,0.06527995318174362,0.07314687967300415,0.07161584496498108]","[0.015967175364494324,0.02553112804889679,0.03249770402908325,0.04860838130116463,0.2275446653366089,0.11831501871347427,0.10483256727457047,0.03086371347308159,0.04828540235757828,0.3475542366504669]",,,
"[0.007831606082618237,0.6074946522712708,0.07064172625541687,0.025770574808120728,0.004868287593126297,0.04042533040046692,0.029715651646256447,0.04520304501056671,0.12288255989551544,0.04516661539673805]","[0.0033724408131092787,0.8152315020561218,0.007805433124303818,0.04346896708011627,0.005341352429240942,0.03749778866767883,0.03849760815501213,0.009797954000532627,0.016498934477567673,0.022488132119178772]","[0.024162638932466507,0.4101811945438385,0.0385405533015728,0.056756895035505295,0.005975806619971991,0.028068212792277336,0.13965530693531036,0.15825039148330688,0.08697716891765594,0.051431816071271896]","[0.009493895806372166,0.44860127568244934,0.12229423224925995,0.21532072126865387,0.009777403436601162,0.06817474961280823,0.017886174842715263,0.014425490982830524,0.07389061152935028,0.02013542875647545]",,
"[0.12219313532114029,0.033768776804208755,0.13551568984985352,0.2775515019893646,0.017376292496919632,0.24897463619709015,0.03072379156947136,0.0438661053776741,0.06986752152442932,0.020162511616945267]","[0.13918617367744446,0.020415470004081726,0.07520239055156708,0.20543763041496277,0.011998451314866543,0.34863197803497314,0.08436978608369827,0.038364771753549576,0.0512847900390625,0.02510855160653591]","[0.11412361264228821,0.013903134502470493,0.13011707365512848,0.4462403357028961,0.014164848253130913,0.17649737000465393,0.022067245095968246,0.028289366513490677,0.042075734585523605,0.012521329335868359]",,,
"[0.023736752569675446,0.11685304343700409,0.03255609795451164,0.023309895768761635,0.010830993764102459,0.48820143938064575,0.13597145676612854,0.005124078132212162,0.013667023740708828,0.14974914491176605]","[0.016768455505371094,0.006150278728455305,0.5443388819694519,0.022105282172560692,0.006027853582054377,0.04721805453300476,0.042163144797086716,0.1846446841955185,0.11612271517515182,0.014460641890764236]",,,,
