client_id,active_rounds,active_rate,mean_probability_alignment_to_cloud,median_probability_alignment_to_cloud,cloud_label_agreement_rate,mean_alignment_when_active,mean_alignment_when_inactive
0,3,1.0000000000,0.9996276942,0.9997019702,0.3333333333,0.9996276942,
1,3,1.0000000000,0.9986086442,0.9994011990,0.3333333333,0.9986086442,
2,3,1.0000000000,0.9998644902,0.9998586448,1.0000000000,0.9998644902,
3,3,1.0000000000,0.9978483264,0.9996778479,0.3333333333,0.9978483264,
4,3,1.0000000000,0.9928634053,0.9898012694,0.3333333333,0.9928634053,
5,3,1.0000000000,0.9976581722,0.9997015456,0.3333333333,0.9976581722,
6,3,1.0000000000,0.9917879499,0.9915174003,0.3333333333,0.9917879499,
7,3,1.0000000000,0.9996937840,0.9996407423,0.6666666667,0.9996937840,
8,3,1.0000000000,0.9796848975,0.9993833201,0.3333333333,0.9796848975,
9,3,1.0000000000,0.9996180504,0.9997365683,0.3333333333,0.9996180504,
10,3,1.0000000000,0.9996475631,0.9998746700,0.3333333333,0.9996475631,
11,3,1.0000000000,0.9998460426,0.9998284145,1.0000000000,0.9998460426,
12,3,1.0000000000,0.9976367829,0.9992225499,0.0000000000,0.9976367829,
13,3,1.0000000000,0.9982980979,0.9993653734,0.6666666667,0.9982980979,
14,3,1.0000000000,0.9992808052,0.9994007535,0.3333333333,0.9992808052,
15,3,1.0000000000,0.9978092203,0.9983462379,0.3333333333,0.9978092203,
16,3,1.0000000000,0.9992959331,0.9997897663,0.3333333333,0.9992959331,
17,3,1.0000000000,0.9949323203,0.9982873044,0.0000000000,0.9949323203,
18,3,1.0000000000,0.9995612500,0.9994333941,0.3333333333,0.9995612500,
19,3,1.0000000000,0.9959175096,0.9983823012,0.3333333333,0.9959175096,
20,3,1.0000000000,0.9994108526,0.9996421442,0.0000000000,0.9994108526,
21,3,1.0000000000,0.9812636749,0.9906610374,0.0000000000,0.9812636749,
22,3,1.0000000000,0.9992437922,0.9992075081,0.0000000000,0.9992437922,
23,3,1.0000000000,0.9933279205,0.9981280189,0.6666666667,0.9933279205,
24,3,1.0000000000,0.9992140987,0.9994802734,0.0000000000,0.9992140987,
25,3,1.0000000000,0.9971127366,0.9987300914,0.3333333333,0.9971127366,
26,3,1.0000000000,0.9994235584,0.9992296914,0.3333333333,0.9994235584,
27,3,1.0000000000,0.9996959138,0.9996757700,0.6666666667,0.9996959138,
28,3,1.0000000000,0.9988083719,0.9998092482,0.3333333333,0.9988083719,
29,3,1.0000000000,0.9989546205,0.9994839660,0.3333333333,0.9989546205,
30,3,1.0000000000,0.9982759871,0.9994229529,0.0000000000,0.9982759871,
31,3,1.0000000000,0.9995094088,0.9995538392,0.6666666667,0.9995094088,
32,2,0.6666666667,0.9938569131,0.9922662486,0.0000000000,0.9908447045,0.9998813304
33,2,0.6666666667,0.9994905642,0.9996492367,0.6666666667,0.9992699311,0.9999318306
34,2,0.6666666667,0.9958597430,0.9987570908,0.0000000000,0.9944110691,0.9987570908
35,2,0.6666666667,0.9958972974,0.9996232689,0.3333333333,0.9939121781,0.9998675360
36,2,0.6666666667,0.9928809258,0.9996236855,0.0000000000,0.9893510855,0.9999406064
