metric,name_zh,valid_rounds,mean,median,min,max,first_third_mean,middle_third_mean,last_third_mean
client_vote_consensus_ratio,全客户端标签共识比例,3,0.3333333333,0.2702702703,0.2432432432,0.4864864865,0.4864864865,0.2702702703,0.2432432432
client_label_consensus_score,全客户端标签熵共识得分,3,0.1624349988,0.1342452330,0.0635442222,0.2895155413,0.2895155413,0.1342452330,0.0635442222
client_probability_consensus_score,全客户端概率共识得分,3,0.9958334669,0.9970106010,0.9908593276,0.9996304722,0.9996304722,0.9970106010,0.9908593276
within_edge_probability_consensus_score,域内概率共识得分,3,0.9963733607,0.9972773684,0.9921705012,0.9996722124,0.9996722124,0.9972773684,0.9921705012
edge_probability_consensus_score,边缘模型间概率共识得分,3,0.9987417266,0.9984702481,0.9978531907,0.9999017410,0.9999017410,0.9984702481,0.9978531907
client_cloud_alignment_score,客户端到云概率对齐得分,3,0.9968029005,0.9975923882,0.9931199173,0.9996963960,0.9996963960,0.9975923882,0.9931199173
edge_cloud_alignment_score,边缘到云概率对齐得分,3,0.9989514409,0.9987197503,0.9982206280,0.9999139445,0.9999139445,0.9987197503,0.9982206280
client_cloud_label_agreement,客户端与云标签一致比例,3,0.3333333333,0.2702702703,0.2432432432,0.4864864865,0.4864864865,0.2702702703,0.2432432432
cloud_confidence,云模型置信度,3,0.1105266145,0.1105802142,0.1097236616,0.1112759676,0.1097236616,0.1112759676,0.1105802142
cloud_margin,云模型概率间隔,3,0.0069039638,0.0069213440,0.0063601354,0.0074304122,0.0063601354,0.0074304122,0.0069213440
active_client_vote_consensus_ratio,active_client_vote_consensus_ratio,3,0.3482545045,0.2702702703,0.2432432432,0.5312500000,0.5312500000,0.2702702703,0.2432432432
within_edge_vote_consensus_ratio,within_edge_vote_consensus_ratio,3,0.3842905405,0.3243243243,0.2972972973,0.5312500000,0.5312500000,0.3243243243,0.2972972973
edge_vote_consensus_ratio,edge_vote_consensus_ratio,3,0.5000000000,0.3333333333,0.3333333333,0.8333333333,0.8333333333,0.3333333333,0.3333333333
active_client_probability_consensus_score,active_client_probability_consensus_score,3,0.9958355892,0.9970106010,0.9908593276,0.9996368391,0.9996368391,0.9970106010,0.9908593276
test_acc,test_acc,3,0.0984333333,0.0970000000,0.0958000000,0.1025000000,0.0958000000,0.0970000000,0.1025000000
test_loss,test_loss,3,2.3000640974,2.3002910172,2.2957037528,2.3041975221,2.3041975221,2.3002910172,2.2957037528
