"[0.10277695208787918,0.11253073066473007,0.09354234486818314,0.10085251927375793,0.0945226401090622,0.11145368963479996,0.09733085334300995,0.09301038086414337,0.10416200011968613,0.08981796354055405]",,"[0.08672337234020233,0.08916845172643661,0.09819319099187851,0.10969146341085434,0.09828227013349533,0.09872685372829437,0.11995577067136765,0.09379168599843979,0.1044011041522026,0.10106576979160309]","[0.09075149148702621,0.10641727596521378,0.09376804530620575,0.09896309673786163,0.10688502341508865,0.10848738253116608,0.10159870237112045,0.08608215302228928,0.11218143254518509,0.0948653444647789]","[0.08517978340387344,0.082465760409832,0.10296501964330673,0.12629181146621704,0.10561461001634598,0.09034949541091919,0.10077552497386932,0.10612170398235321,0.08661293238401413,0.11362335085868835]",
,,"[0.09234420210123062,0.064576655626297,0.07297386229038239,0.19721640646457672,0.07650937139987946,0.07387106120586395,0.10589312762022018,0.07224573194980621,0.146000474691391,0.09836910665035248]",,"[0.08562470227479935,0.07385475188493729,0.08805181086063385,0.1221301406621933,0.1051027923822403,0.06954696774482727,0.0938299372792244,0.12403272092342377,0.10767915099859238,0.1301470249891281]","[0.11265170574188232,0.0790538489818573,0.12789715826511383,0.10958633571863174,0.10054366290569305,0.08006206154823303,0.11149150133132935,0.07843939960002899,0.09353313595056534,0.10674119740724564]"
"[0.09776347875595093,0.094869464635849,0.07465210556983948,0.1433769315481186,0.09774646162986755,0.13546064496040344,0.10085288435220718,0.05691446363925934,0.13858236372470856,0.05978117510676384]","[0.15497718751430511,0.11129380017518997,0.11139026284217834,0.06497001647949219,0.07565831393003464,0.08636192977428436,0.10758544504642487,0.09840081632137299,0.08526141196489334,0.1041007861495018]",,"[0.085769422352314,0.1173388808965683,0.09318244457244873,0.09190699458122253,0.10064341127872467,0.09929969161748886,0.11984558403491974,0.08970752358436584,0.10542839020490646,0.09687761217355728]","[0.09036331623792648,0.06494680047035217,0.11277400702238083,0.14141352474689484,0.10091643780469894,0.07334515452384949,0.09105076640844345,0.1255754828453064,0.07871837913990021,0.12089621275663376]","[0.14057256281375885,0.06974095106124878,0.10050906240940094,0.11257307976484299,0.10291153192520142,0.06507953256368637,0.08952262252569199,0.09039569646120071,0.1037924662232399,0.12490245699882507]"
"[0.18399210274219513,0.1407378911972046,0.058553315699100494,0.10633201897144318,0.071290522813797,0.11627236753702164,0.08838845789432526,0.046513598412275314,0.1248294785618782,0.06309032440185547]",,"[0.05671721696853638,0.05637601017951965,0.1248367577791214,0.1164819598197937,0.11665423959493637,0.08423395454883575,0.20996424555778503,0.0618206262588501,0.08488083630800247,0.08803415298461914]","[0.07903826236724854,0.117238350212574,0.08366093039512634,0.12866638600826263,0.11304986476898193,0.14752474427223206,0.06890835613012314,0.056399013847112656,0.13346752524375916,0.07204660773277283]",,
"[0.14836958050727844,0.15860876441001892,0.05478285253047943,0.11429016292095184,0.07417429238557816,0.0959581807255745,0.09889035671949387,0.08416428416967392,0.1035517230629921,0.06720978021621704]",,"[0.09078850597143173,0.06387477368116379,0.06387044489383698,0.0766482949256897,0.06635171920061111,0.0984448492527008,0.1786886602640152,0.0769505426287651,0.09952563047409058,0.184856578707695]","[0.07649171352386475,0.1408175826072693,0.07796681672334671,0.08898089826107025,0.13380052149295807,0.12982183694839478,0.09742258489131927,0.050900787115097046,0.1330316960811615,0.07076557725667953]","[0.07256440073251724,0.027824854478240013,0.13910269737243652,0.1042780727148056,0.1761379837989807,0.033674076199531555,0.0811886340379715,0.13326813280582428,0.04229126498103142,0.18966984748840332]","[0.10681891441345215,0.08258956670761108,0.16978758573532104,0.08991823345422745,0.1087108626961708,0.07714454084634781,0.14817805588245392,0.056007448583841324,0.08789835125207901,0.0729464516043663]"
,,"[0.08398134261369705,0.08543571084737778,0.12952060997486115,0.07979468256235123,0.11192033439874649,0.08597634732723236,0.1303277313709259,0.09305776655673981,0.11489509046077728,0.08509047329425812]",,"[0.08488625288009644,0.05661241337656975,0.1592707633972168,0.14526624977588654,0.12388439476490021,0.05327952653169632,0.08744575083255768,0.09374915808439255,0.0680379793047905,0.12756748497486115]",
,,,"[0.044832080602645874,0.13854137063026428,0.0844510942697525,0.09771931916475296,0.1728198230266571,0.20135456323623657,0.0781138688325882,0.049333833158016205,0.0685826912522316,0.06425140798091888]",,"[0.09763254970312119,0.08751442283391953,0.09767650067806244,0.09980133920907974,0.04144378378987312,0.050605401396751404,0.10697648674249649,0.045170895755290985,0.16015292704105377,0.21302565932273865]"
,,"[0.03835225850343704,0.029101308435201645,0.024305397644639015,0.19174888730049133,0.10625560581684113,0.054080404341220856,0.08766291290521622,0.07763049006462097,0.3258948028087616,0.06496795266866684]","[0.026114724576473236,0.07884853333234787,0.1024765893816948,0.16228997707366943,0.17642119526863098,0.20571434497833252,0.03427651897072792,0.03223368525505066,0.14134688675403595,0.04027758166193962]","[0.029032737016677856,0.008838551118969917,0.1359357386827469,0.14024046063423157,0.15414254367351532,0.009721402078866959,0.03942769393324852,0.17590710520744324,0.030485184863209724,0.27626854181289673]",
"[0.05996567755937576,0.06262226402759552,0.06725894659757614,0.12170587480068207,0.1767658144235611,0.09630262851715088,0.09434343874454498,0.0814933329820633,0.10767066478729248,0.13187137246131897]","[0.05573065206408501,0.03948133438825607,0.04867149144411087,0.11900677531957626,0.24661891162395477,0.08711955696344376,0.07536380738019943,0.07115195691585541,0.11911042779684067,0.13774506747722626]","[0.03648679330945015,0.024235405027866364,0.04642295837402344,0.1454584002494812,0.22204065322875977,0.06072615832090378,0.11577614396810532,0.058834899216890335,0.07941077649593353,0.21060781180858612]","[0.03819229453802109,0.06498423218727112,0.0707368478178978,0.08678511530160904,0.24496139585971832,0.1410941779613495,0.06160634011030197,0.05825359746813774,0.11977214366197586,0.11361385881900787]","[0.04877437278628349,0.031051993370056152,0.0757957175374031,0.07846517115831375,0.21271082758903503,0.04580029100179672,0.07235036790370941,0.19382627308368683,0.06173814460635185,0.17948682606220245]","[0.07543105632066727,0.05006740987300873,0.12085885554552078,0.07829144597053528,0.0519120879471302,0.03037170320749283,0.047903288155794144,0.03966181352734566,0.1426304280757904,0.3628719449043274]"
"[0.09755206108093262,0.14675593376159668,0.09035367518663406,0.10016988217830658,0.04665970057249069,0.16630412638187408,0.07721538841724396,0.032179515808820724,0.22186069190502167,0.020948978140950203]",,"[0.10614414513111115,0.11608139425516129,0.11238682270050049,0.07221408188343048,0.04471533000469208,0.1465482860803604,0.11421434581279755,0.03311273083090782,0.1659780889749527,0.08860480040311813]","[0.04619193822145462,0.1942700296640396,0.10932765156030655,0.10362500697374344,0.08172508329153061,0.31443408131599426,0.03053131327033043,0.01685192622244358,0.08719360828399658,0.015849296003580093]","[0.1529303789138794,0.14066216349601746,0.11615267395973206,0.06737612932920456,0.06366153806447983,0.0634765774011612,0.06530453264713287,0.0656588077545166,0.21930235624313354,0.045474838465452194]","[0.09200657159090042,0.14517398178577423,0.1412363499403,0.066424660384655,0.04863259196281433,0.10880790650844574,0.09660641103982925,0.027934905141592026,0.23127619922161102,0.04190044105052948]"
