"[0.10493585467338562,0.11325684189796448,0.0932825356721878,0.10195910185575485,0.09361084550619125,0.11301542818546295,0.0955687165260315,0.09213141351938248,0.10433974117040634,0.0878995731472969]","[0.0946916863322258,0.10810890793800354,0.10547112673521042,0.09616424888372421,0.08575219660997391,0.09906473755836487,0.11454833298921585,0.12216202169656754,0.084020234644413,0.09001655876636505]","[0.08433690667152405,0.08973526209592819,0.09698477387428284,0.10545314103364944,0.09626569598913193,0.10765920579433441,0.1228010430932045,0.09026022255420685,0.09947811812162399,0.10702569037675858]","[0.08969710022211075,0.10550907254219055,0.09562231600284576,0.09768616408109665,0.10736919194459915,0.11014163494110107,0.10169292241334915,0.08616887032985687,0.1114727035164833,0.09464003890752792]","[0.08517978340387344,0.082465760409832,0.10296501964330673,0.12629181146621704,0.10561461001634598,0.09034949541091919,0.10077552497386932,0.10612170398235321,0.08661293238401413,0.11362335085868835]","[0.12268158793449402,0.09275069087743759,0.09769339859485626,0.10662467032670975,0.09797149896621704,0.09513353556394577,0.09460628032684326,0.0917322039604187,0.09642136096954346,0.10438482463359833]"
"[0.09743275493383408,0.10585763305425644,0.08560562878847122,0.13837116956710815,0.08767781406641006,0.10591506958007812,0.10264548659324646,0.0831817239522934,0.11113324761390686,0.08217943459749222]","[0.09103408455848694,0.10073933005332947,0.1094004288315773,0.10280314087867737,0.08040587604045868,0.10072478652000427,0.11321351677179337,0.12751390039920807,0.08275864273309708,0.09140633046627045]","[0.0948762446641922,0.06459106504917145,0.07314937561750412,0.19711200892925262,0.0747360810637474,0.07415267080068588,0.10624152421951294,0.07313849776983261,0.14246799051761627,0.09953460097312927]","[0.08259954303503036,0.10870034247636795,0.08913712203502655,0.10193345695734024,0.11017105728387833,0.10974350571632385,0.09894953668117523,0.07990715652704239,0.12790457904338837,0.09095370024442673]","[0.08746796101331711,0.07352080196142197,0.08859484642744064,0.11940184235572815,0.10391122102737427,0.06950490176677704,0.09394901245832443,0.12714359164237976,0.10388249903917313,0.13262337446212769]","[0.0979815423488617,0.08014547824859619,0.11223617941141129,0.10305843502283096,0.09254584461450577,0.10580963641405106,0.1307721585035324,0.07563874125480652,0.08316856622695923,0.1186433881521225]"
"[0.10835547745227814,0.10487526655197144,0.08000379800796509,0.11353907734155655,0.09214415401220322,0.10645493865013123,0.08798523247241974,0.09290477633476257,0.1365528255701065,0.07718446850776672]","[0.09554651379585266,0.09080250561237335,0.10694634169340134,0.09467252343893051,0.08156383037567139,0.08268753439188004,0.12801317870616913,0.15770699083805084,0.07968579232692719,0.08237476646900177]","[0.07830348610877991,0.06628098338842392,0.08626074343919754,0.11253724992275238,0.09101656824350357,0.0999203771352768,0.15312039852142334,0.09120015054941177,0.10213227570056915,0.11922770738601685]","[0.08474580943584442,0.10603373497724533,0.09623017907142639,0.10050807148218155,0.10623985528945923,0.11767953634262085,0.10951060056686401,0.08733402192592621,0.09745237976312637,0.09426575154066086]","[0.08903942257165909,0.06495305150747299,0.11034522205591202,0.13732872903347015,0.10216588526964188,0.07602973282337189,0.09344544261693954,0.13033530116081238,0.07694204896688461,0.11941517144441605]","[0.13502198457717896,0.07659050822257996,0.09748099744319916,0.11327186971902847,0.10094139724969864,0.07600633800029755,0.09060584753751755,0.0950981006026268,0.10014326870441437,0.11483966559171677]"
"[0.12535308301448822,0.1348804384469986,0.06701027601957321,0.1162659153342247,0.07953640818595886,0.1263119876384735,0.10390783101320267,0.07374119758605957,0.10108841210603714,0.07190448045730591]","[0.07650298625230789,0.095924012362957,0.08252120763063431,0.10090930759906769,0.08990640938282013,0.09456657618284225,0.1860591173171997,0.08873287588357925,0.08673937618732452,0.09813815355300903]","[0.057622216641902924,0.060373853892087936,0.09611013531684875,0.10797908157110214,0.08658753335475922,0.11736523360013962,0.2368973195552826,0.056246329098939896,0.07328677922487259,0.10753148794174194]","[0.07990308851003647,0.11189005523920059,0.08871108293533325,0.10948808491230011,0.10228947550058365,0.12930382788181305,0.09095873683691025,0.06597594171762466,0.1426365226507187,0.07884310930967331]","[0.10198941826820374,0.06792993098497391,0.11075741052627563,0.0858936458826065,0.09913887083530426,0.07690692692995071,0.12139163911342621,0.1311735212802887,0.08676692843437195,0.11805171519517899]","[0.12830699980258942,0.06665892899036407,0.08150076866149902,0.14339295029640198,0.08645453304052353,0.06463982909917831,0.12420619279146194,0.06683102250099182,0.12309586256742477,0.11491291224956512]"
"[0.13925431668758392,0.12251286953687668,0.0679805725812912,0.10587520152330399,0.07906252145767212,0.09828974306583405,0.10183067619800568,0.09047923982143402,0.12072780728340149,0.07398703694343567]","[0.08733289688825607,0.07811014354228973,0.10401470959186554,0.07920098304748535,0.099601611495018,0.07952958345413208,0.15922121703624725,0.12883993983268738,0.08095142990350723,0.10319744050502777]","[0.08511640131473541,0.06256820261478424,0.06398295611143112,0.09007972478866577,0.09868624806404114,0.08806806802749634,0.16447801887989044,0.09600062668323517,0.10258444398641586,0.1484353244304657]","[0.0721302181482315,0.11011933535337448,0.08385848253965378,0.09222973138093948,0.15496192872524261,0.1399926245212555,0.09298075735569,0.059980608522892,0.11704964190721512,0.07669667154550552]","[0.07604757696390152,0.0474817268550396,0.10355061292648315,0.1292446404695511,0.14047230780124664,0.06717775762081146,0.14188149571418762,0.11660740524530411,0.06378970295190811,0.11374679207801819]","[0.11439722776412964,0.07325204461812973,0.1631600260734558,0.07594434171915054,0.09438870847225189,0.0731799528002739,0.12594720721244812,0.0658021941781044,0.0924416035413742,0.12148665636777878]"
"[0.16906550526618958,0.18552523851394653,0.05163351073861122,0.09258081763982773,0.07170987874269485,0.12070251256227493,0.08819904923439026,0.03708358108997345,0.1348370462656021,0.04866287484765053]","[0.08222947269678116,0.09522312879562378,0.13883008062839508,0.08746489137411118,0.09575881063938141,0.08991215378046036,0.16115576028823853,0.09591405093669891,0.06680169701576233,0.08670999109745026]","[0.07759622484445572,0.07920297235250473,0.09849698841571808,0.10607404261827469,0.10017553716897964,0.09372951090335846,0.17908751964569092,0.07455301284790039,0.08747771382331848,0.10360650718212128]","[0.07702551037073135,0.13914081454277039,0.10621699690818787,0.12157895416021347,0.10108281672000885,0.12455743551254272,0.08745375275611877,0.07070739567279816,0.09931763261556625,0.07291867583990097]","[0.08240741491317749,0.0549401119351387,0.16932521760463715,0.142995223402977,0.1266176551580429,0.05259412154555321,0.08696118742227554,0.09138673543930054,0.06588908284902573,0.12688326835632324]","[0.13477963209152222,0.10555057972669601,0.1515372395515442,0.08334479480981827,0.0917491763830185,0.07979637384414673,0.12746140360832214,0.055912088602781296,0.09886931627988815,0.0709993988275528]"
"[0.0805741474032402,0.11603819578886032,0.07397181540727615,0.09038592875003815,0.09382454305887222,0.09821305423974991,0.14042474329471588,0.08885633945465088,0.11831497400999069,0.09939621388912201]","[0.07453468441963196,0.1307644546031952,0.08902254700660706,0.07971926033496857,0.08863676339387894,0.08527747541666031,0.15830592811107635,0.09306073933839798,0.07760802656412125,0.12307016551494598]","[0.03946521133184433,0.05818295478820801,0.08624222129583359,0.08774331212043762,0.10645741969347,0.13459385931491852,0.25452202558517456,0.053483862429857254,0.06276512145996094,0.11654405295848846]","[0.05174318701028824,0.14851601421833038,0.07563767582178116,0.08820166438817978,0.1450747847557068,0.15521672368049622,0.09654827415943146,0.05481638386845589,0.10274618119001389,0.08149906992912292]","[0.07364922761917114,0.08117171376943588,0.07973941415548325,0.08808542788028717,0.15589579939842224,0.04694026708602905,0.11258461326360703,0.1273222416639328,0.1113695576786995,0.12324170023202896]","[0.08464662730693817,0.08655042946338654,0.07771755754947662,0.1103946790099144,0.08473119884729385,0.06322789937257767,0.13305065035820007,0.06920845806598663,0.12965236604213715,0.1608201414346695]"
"[0.07997001707553864,0.09668795019388199,0.037070661783218384,0.12499955296516418,0.09320123493671417,0.10841845721006393,0.11671580374240875,0.13869759440422058,0.12325393408536911,0.08098480105400085]","[0.05049994960427284,0.08280956000089645,0.07254848629236221,0.13715338706970215,0.08938218653202057,0.07115517556667328,0.09234767407178879,0.17637835443019867,0.1329282969236374,0.09479695558547974]","[0.03670937567949295,0.04216817021369934,0.035398852080106735,0.18226838111877441,0.07377596944570541,0.09313686937093735,0.09196896851062775,0.09151667356491089,0.22999733686447144,0.12305939197540283]","[0.02415662631392479,0.0733242779970169,0.09535729140043259,0.13947269320487976,0.1951497197151184,0.20136037468910217,0.03907790407538414,0.05192102491855621,0.13568750023841858,0.04449255019426346]","[0.045218575745821,0.030843719840049744,0.12778274714946747,0.10047537833452225,0.08178242295980453,0.02757561206817627,0.06152989715337753,0.15249088406562805,0.04312826320528984,0.3291725516319275]","[0.049615226686000824,0.06808588653802872,0.09181137382984161,0.10963036864995956,0.09972132742404938,0.045181211084127426,0.08439101278781891,0.09600668400526047,0.22892430424690247,0.12663257122039795]"
"[0.047271184623241425,0.047187067568302155,0.06085575371980667,0.1133706346154213,0.21930694580078125,0.09383184462785721,0.07800134271383286,0.08905097097158432,0.0994097888469696,0.151714488863945]","[0.04635410010814667,0.03989775851368904,0.062374092638492584,0.09438691288232803,0.21902398765087128,0.0649191290140152,0.09368235617876053,0.12297600507736206,0.07865367829799652,0.17773200571537018]","[0.033225513994693756,0.023355785757303238,0.040491193532943726,0.115021251142025,0.2606167495250702,0.05580274388194084,0.1099100410938263,0.07942093908786774,0.08779286593198776,0.19436290860176086]","[0.03254430368542671,0.05123595893383026,0.05644518509507179,0.08131100982427597,0.296332448720932,0.11303259432315826,0.05956524237990379,0.06479576975107193,0.10641742497682571,0.13832007348537445]","[0.03599642589688301,0.023586275056004524,0.08826938271522522,0.06190197914838791,0.1658433973789215,0.04071617126464844,0.06389287114143372,0.11322758346796036,0.03889303654432297,0.367672860622406]","[0.07940477132797241,0.04086165130138397,0.11904460191726685,0.07047250866889954,0.08779303729534149,0.03424826264381409,0.045675233006477356,0.052634287625551224,0.12614253163337708,0.3437231779098511]"
"[0.10564330965280533,0.1818627119064331,0.08852129429578781,0.10326359421014786,0.03969184681773186,0.15273410081863403,0.07738488912582397,0.03266867250204086,0.19530348479747772,0.022926071658730507]","[0.11729929596185684,0.34013158082962036,0.047229111194610596,0.0322318971157074,0.03750113397836685,0.1083582267165184,0.0768994688987732,0.014818120747804642,0.17102669179439545,0.05450444668531418]","[0.10653304308652878,0.11587320268154144,0.1069057509303093,0.07068613916635513,0.03909109905362129,0.16844810545444489,0.09690386801958084,0.026242172345519066,0.1932612806558609,0.07605534791946411]","[0.04402092844247818,0.18546578288078308,0.12725003063678741,0.08018041402101517,0.07144196331501007,0.3318767249584198,0.029038749635219574,0.014654217287898064,0.10240190476179123,0.013669321313500404]","[0.1551763117313385,0.12847962975502014,0.17172668874263763,0.06055580452084541,0.054339293390512466,0.07950620353221893,0.06833356618881226,0.05754435434937477,0.18440808355808258,0.0399300754070282]","[0.09381870180368423,0.14925840497016907,0.10805398970842361,0.07662978768348694,0.04165063053369522,0.147689551115036,0.11009775102138519,0.02436348795890808,0.20825661718845367,0.04018102586269379]"
